"Sklenitve zakonskih zvez po: LETO , MESEC"

" ";"Januar";"Februar";"Marec";"April";"Maj";"Junij";"Julij";"Avgust";"September";"Oktober";"November";"December"
"2000";208;299;277;465;1112;874;908;851;1136;531;285;255
"2001";190;280;269;531;1003;947;689;792;1055;507;278;394
"2002";202;258;284;536;1023;1098;736;941;896;523;271;296
"2003";190;210;280;415;1181;877;706;947;862;515;277;296
"2004";182;280;221;492;1092;883;750;778;860;531;222;267
"2005";192;168;178;456;893;713;762;750;841;424;196;196
"2006";163;220;246;438;902;876;795;759;1041;421;244;263
"2007";170;198;224;415;857;965;953;682;984;475;229;221
"2008";165;192;255;484;1086;978;736;997;877;484;205;244
"2009";153;238;233;425;1044;966;718;917;966;467;201;214
"2010";196;183;242;453;1076;900;872;811;840;496;227;232
"2011";174;206;281;383;984;963;919;842;885;491;271;272
"2012";171;244;268;418;1022;1177;802;856;1048;426;226;399
"2013";183;202;228;358;936;1015;713;932;773;421;227;266
"2014";187;231;262;350;1029;1013;695;1028;845;432;215;284
"2015";147;244;230;391;914;934;739;978;900;474;234;264
"2016";204;203;213;440;941;1009;900;840;945;471;233;268

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9490 target=_blank) Metodološka pojasnila"

